feature,coefficient
const,0.4467507913261713
Return,-0.07968003017141043
Return_5d,-0.43555345750011215
Return_20d,0.554088533019761
Return_Smooth,1.0831295334012676
RSI_14,1.9603324037593053
MACD_Hist,-0.9227848784905556
Drawdown,-0.19390964273997532
VIX,-0.6156116676064647
VIX_Change,0.00017834314585757414
VIX_Change_5d,0.037427593440808225
GDP_YoY,0.016706553492847803
Core_Inflation_YoY,-0.2558164014996955
M2_YoY,0.026079554265757848
Unemployment,-0.1764925680331683
Risk_Adj_Return_20d,-0.4487046945582611
Relative_Volume,0.03392133475550252
MACD_Hist_Accel,-0.34502767641176607
