bear_std_return,comparison,accuracy_diff_mean,accuracy_diff_std,accuracy_pelt_wins,macro_f1_diff_mean,macro_f1_diff_std,macro_f1_pelt_wins,bear_f1_diff_mean,bear_f1_diff_std,bear_f1_pelt_wins,bull_f1_diff_mean,bull_f1_diff_std,bull_f1_pelt_wins
0.01,PELT vs GMM,-0.008818703855619347,0.2593127304641066,0.5,-0.0009654308417678614,0.2364764004073599,0.5,0.06097178460843892,0.16694259683970533,0.6,-0.06290264629197462,0.37205645247986213,0.5
0.01,PELT vs HMM,-0.060459392945036904,0.1702527423207484,0.4,-0.051344739827301124,0.1675821633728117,0.3,0.025289367426932375,0.15050960005690744,0.6,-0.1279788470815346,0.2269490361359657,0.4
0.014,PELT vs GMM,0.0398687448728466,0.21304916405400168,0.5,0.0014500899389722794,0.16791650298302552,0.4,-0.018153298727666734,0.14146660465670757,0.6,0.021053478605611305,0.33961836154306474,0.5
0.014,PELT vs HMM,-0.0673092698933552,0.2611331708685233,0.3,-0.10040806151990836,0.22910498466124773,0.2,-0.11388657753438783,0.21349941250503207,0.4,-0.0869295455054289,0.345930449874146,0.3
0.018,PELT vs GMM,-0.11763740771123873,0.2010595530132317,0.2,-0.1410817632714272,0.1599155871646419,0.1,-0.13388181533182034,0.21510530518769266,0.3,-0.14828171121103412,0.2980613275595346,0.2
0.018,PELT vs HMM,-0.06333059885151764,0.23977291599683415,0.3,-0.07013996008350631,0.20824337998269124,0.3,-0.017655518949323885,0.15974352993478158,0.4,-0.12262440121768878,0.2852637968385248,0.3
0.022,PELT vs GMM,-0.01866283839212469,0.2732900776867741,0.4,-0.034496616620050435,0.22726539042381588,0.4,-0.015261749418261,0.1692915010286761,0.5,-0.053731483821839864,0.3622767620322035,0.4
0.022,PELT vs HMM,-0.03547990155865463,0.2251615835404187,0.4,-0.05212099643727238,0.19907404425375158,0.3,-0.02368621284022801,0.17260854948369522,0.3,-0.08055578003431674,0.2995393181100721,0.4
0.03,PELT vs GMM,0.02953240360951599,0.2962211217687596,0.5,-0.012874089612658568,0.2169880790924022,0.5,-0.02297467161403491,0.1518227158661845,0.5,-0.0027735076112821886,0.38841700391124706,0.5
0.03,PELT vs HMM,0.020139458572600476,0.24031569189776372,0.5,-0.02754907946888054,0.18673918134889017,0.4,-0.042302696065457536,0.15000286530886556,0.3,-0.01279546287230352,0.32574723729799054,0.5
