ar_coeff,comparison,accuracy_diff_mean,accuracy_diff_std,accuracy_pelt_wins,macro_f1_diff_mean,macro_f1_diff_std,macro_f1_pelt_wins,bear_f1_diff_mean,bear_f1_diff_std,bear_f1_pelt_wins,bull_f1_diff_mean,bull_f1_diff_std,bull_f1_pelt_wins
0.5,PELT vs GMM,-0.0958572600492207,0.24527177316797966,0.5,-0.1306329442115112,0.16867113384646393,0.3,-0.11352225471676076,0.24894681012209016,0.1,-0.14774363370626156,0.31217707538569095,0.5
0.5,PELT vs HMM,-0.12493847415914686,0.31826314096166386,0.5,-0.12972103272869248,0.1748974329121502,0.3,-0.08845238863026095,0.19967283850860676,0.1,-0.17098967682712402,0.3694002675327287,0.5
0.7,PELT vs GMM,-0.06185397867104183,0.314330178625077,0.3,-0.1019998057956637,0.19555776812665246,0.3,-0.07675570572220916,0.19926116424392298,0.2,-0.1272439058691183,0.3612116054103814,0.4
0.7,PELT vs HMM,-0.06456111566858079,0.3639054410512017,0.4,-0.09432817749601148,0.232486748679786,0.4,-0.06372633052574257,0.19623748335878846,0.3,-0.12493002446628036,0.41151511846331357,0.5
0.9,PELT vs GMM,-0.0011484823625923068,0.13781907984167663,0.4,-0.06440376784770614,0.11440408639499706,0.3,-0.09074558384004326,0.18952972662820547,0.1,-0.03806195185536906,0.21119757160192587,0.4
0.9,PELT vs HMM,0.0748154224774405,0.2507700959233793,0.5,-0.006670247208423558,0.1224293829312386,0.4,-0.059067340066349984,0.09932582575941011,0.2,0.045726845649502856,0.31653530188629564,0.5
0.95,PELT vs GMM,0.04257588187038556,0.19746332211137207,0.3,-0.019415173852863447,0.09098757140458678,0.2,-0.07574279818709524,0.14172670479954028,0.1,0.036912450481368354,0.25029524503369455,0.4
0.95,PELT vs HMM,0.0859721082854799,0.2025514574246774,0.4,0.0096699350324776,0.10488404383125688,0.3,-0.05660120474850525,0.1622970906621069,0.4,0.07594107481346045,0.2569044851490328,0.4
0.99,PELT vs GMM,-0.04319114027891714,0.24110406605867166,0.4,-0.04942183111792147,0.2102257861980569,0.4,0.0022576595331594896,0.17171914892953039,0.7,-0.10110132176900241,0.35950069826005815,0.3
0.99,PELT vs HMM,-0.03748974569319113,0.23151681130631677,0.4,-0.04371960081482952,0.21979298715803214,0.4,0.01808750050358507,0.20418154817903703,0.5,-0.10552670213324408,0.3200512029511126,0.3
