bear_vix_mean,comparison,accuracy_diff_mean,accuracy_diff_std,accuracy_pelt_wins,macro_f1_diff_mean,macro_f1_diff_std,macro_f1_pelt_wins,bear_f1_diff_mean,bear_f1_diff_std,bear_f1_pelt_wins,bull_f1_diff_mean,bull_f1_diff_std,bull_f1_pelt_wins
17.0,PELT vs GMM,0.014191960623461869,0.24342424701977614,0.4,-0.054264089725008846,0.17015401345856776,0.3,-0.09379369547762688,0.19256463063288884,0.3,-0.014734483972390772,0.3580147371388133,0.5
17.0,PELT vs HMM,0.06300246103363413,0.24450342663448002,0.4,0.012821286501860795,0.1634296968296339,0.4,0.018671970980475065,0.08154052876465341,0.4,0.006970602023246564,0.3381303365683561,0.4
20.0,PELT vs GMM,0.0010664479081213929,0.25479036563809915,0.4,-0.03401365664575294,0.20407791712113757,0.2,-0.05325847101246105,0.19555964279284033,0.4,-0.014768842279044792,0.3561503781547479,0.4
20.0,PELT vs HMM,-0.038228055783429055,0.260084205884789,0.5,-0.06486007220841458,0.2122100919863065,0.3,-0.04662701660231052,0.21810614625328326,0.5,-0.08309312781451862,0.3523016604492792,0.5
25.0,PELT vs GMM,-0.013248564397046747,0.27624163424441706,0.4,-0.04667886919031472,0.21745203475820832,0.3,-0.032798722417261755,0.2041312080788736,0.3,-0.06055901596336767,0.36714562545851875,0.4
25.0,PELT vs HMM,0.020385561936013118,0.25354572993499663,0.5,-0.01619753472225941,0.21296266282977439,0.5,-0.00893781450875843,0.1464083518378442,0.3,-0.023457254935760386,0.32139604952081713,0.5
30.0,PELT vs GMM,-0.02243642329778508,0.2750097295277521,0.4,-0.0337690843924939,0.22672481737084138,0.4,-0.00538426439494426,0.16189822310319826,0.5,-0.062153904390043556,0.3642934140897756,0.4
30.0,PELT vs HMM,-0.01792452830188679,0.2340946302305676,0.4,-0.039271395746614854,0.20750035418714088,0.4,-0.01854037166587087,0.1528068014121154,0.4,-0.060002419827358836,0.299892346577371,0.4
40.0,PELT vs GMM,-0.0024610336341263305,0.276659966271308,0.5,0.0015662097400467867,0.24299216590824352,0.5,0.062229141153499076,0.17974486691234529,0.6,-0.05909672167340553,0.35269965443330925,0.5
40.0,PELT vs HMM,-0.04179655455291224,0.25550700207341465,0.4,-0.04490245564249383,0.25102267001865886,0.4,0.004417398611132895,0.24026309503751236,0.5,-0.09422230989612053,0.2941249440770386,0.4
